item_id,date,p10,p50,p90
iraq,2021-03-03T00:00:00Z,31.2284488678,282.3435668945,1046.9190673828
iraq,2021-03-04T00:00:00Z,73.8262939453,286.6914367676,908.1150512695
iraq,2021-03-05T00:00:00Z,9.643081665,241.7028045654,953.854309082
iraq,2021-03-06T00:00:00Z,-10.6372680664,239.3534545898,921.6665649414
iraq,2021-03-07T00:00:00Z,-16.5207633972,218.7183532715,798.9483642578
iraq,2021-03-08T00:00:00Z,-22.032043457,151.0238342285,808.7242431641
iraq,2021-03-09T00:00:00Z,-13.5294599533,176.8765869141,937.9067382812
iraq,2021-03-10T00:00:00Z,-5.6289138794,198.7487335205,926.5723876953
iraq,2021-03-11T00:00:00Z,-35.8493041992,177.4037017822,907.9244384766
iraq,2021-03-12T00:00:00Z,-31.8855895996,157.2237854004,937.8454589844
iraq,2021-03-13T00:00:00Z,-47.9401626587,134.2486114502,858.5693969727
iraq,2021-03-14T00:00:00Z,-60.6090164185,121.8198776245,914.6563110352
iraq,2021-03-15T00:00:00Z,-62.6075668335,119.5161132812,897.3320922852
iraq,2021-03-16T00:00:00Z,-55.1285247803,105.6447601318,927.6049194336
iraq,2021-03-17T00:00:00Z,-56.301399231,96.1484451294,898.8017578125
iraq,2021-03-18T00:00:00Z,-37.4494361877,119.7339859009,924.615234375
iraq,2021-03-19T00:00:00Z,-50.2842712402,96.0850067139,940.8170166016
iraq,2021-03-20T00:00:00Z,-73.3439941406,60.1929779053,773.1181030273
iraq,2021-03-21T00:00:00Z,-64.714012146,59.2142410278,723.5272827148
iraq,2021-03-22T00:00:00Z,-84.5927886963,34.5307006836,723.6631469727
iraq,2021-03-23T00:00:00Z,-70.7182006836,46.5911178589,934.5390014648
iraq,2021-03-24T00:00:00Z,-65.7688751221,40.4805030823,901.5497436523
iraq,2021-03-25T00:00:00Z,-78.9928665161,52.2557601929,1167.1881103516
iraq,2021-03-26T00:00:00Z,-79.1590194702,35.134601593,1084.0560302734
iraq,2021-03-27T00:00:00Z,-66.3611679077,20.1303272247,1117.1026611328
iraq,2021-03-28T00:00:00Z,-78.0445480347,8.1483898163,972.0173339844
iraq,2021-03-29T00:00:00Z,-91.1938018799,16.2312316895,757.2335205078
iraq,2021-03-30T00:00:00Z,-96.2630157471,0.3868322372,871.1303710938
iraq,2021-03-31T00:00:00Z,-78.5528869629,15.6661558151,837.3675537109
iraq,2021-04-01T00:00:00Z,-93.806388855,-6.9544334412,822.3628540039
iraq,2021-04-02T00:00:00Z,-98.1333847046,-17.195608139,918.5819091797
iraq,2021-04-03T00:00:00Z,-80.6089019775,-11.0206918716,741.9317626953
iraq,2021-04-04T00:00:00Z,-88.2831268311,-12.0815048218,639.9315795898
